"Date update","sObject name","Field name","Field value","Parent SObject name","Parent field name","Parent field value","Error"
"2026-03-08  20:43:32.905","Account","Id","#N/A","#N/A","#N/A","#N/A","MISSING COLUMN IN THE CSV FILE"
"2026-03-08  20:43:32.906","Opportunity","Id","#N/A","#N/A","#N/A","#N/A","MISSING COLUMN IN THE CSV FILE"
"2026-03-08  20:43:32.986","Account","ParentId","Atlas Group","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Atlas Services","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Meridian Solutions","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Peak Group","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Apex Partners","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Cipher Logic","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Helix Solutions","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Onyx Innovations","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Peak Group","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Forge Group","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Catalyst Ventures","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Flux Solutions","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Onyx Ventures","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Onyx Works","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Cascade Innovations","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Atlas Works","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Orbit Ventures","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Nexus Global","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Meridian Networks","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Matrix Ventures","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Cobalt Digital","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Flux Labs","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Orbit Ventures","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Meridian Services","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Meridian Logic","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Meridian Ventures","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Ember Partners","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Nexus Technologies","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Forge Solutions","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Nexus Systems","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Nexus Works","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Apex Innovations","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Apex Systems","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Matrix Analytics","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Catalyst Analytics","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Helix Systems","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Matrix Labs","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Forge Capital","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Helix Networks","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Matrix Global","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Matrix Solutions","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Apex Ventures","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Apex Systems","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Cipher Labs","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Nova Enterprises","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Orbit Technologies","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Flux Solutions","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Cipher Dynamics","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Meridian Logic","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Matrix Analytics","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Catalyst Industries","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Flux Works","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
"2026-03-08  20:43:32.987","Account","ParentId","Helix Works","Account","Id","#N/A","MISSING PARENT LOOKUP RECORD"
