"Id","Name","ParentId","Industry","Parent.Name"
"ZJJOXA4CIOTQGO1QLV","Apex Analytics","#N/A","Real Estate","#N/A"
"7EBEK1E0SZ15U40GME","Apex Capital","#N/A","Consulting","#N/A"
"CZJMDLKEVYNASBMML8","Apex Corp","#N/A","Manufacturing","#N/A"
"KTVKVWH3X2GD8FSDBV","Apex Digital","#N/A","Healthcare","#N/A"
"CJDUD3UYO5GWHAXXUE","Apex Dynamics","#N/A","Energy","#N/A"
"LLKSLHCOSUC5NCCCYP","Apex Enterprises","#N/A","Consulting","#N/A"
"STE1ZMOIZQV9GNHNP0","Apex Global","#N/A","Media","#N/A"
"SPYOWFMSBF2UC5KFCL","Apex Group","#N/A","Manufacturing","#N/A"
"VDKYXSPO6MBWF4QJ2Z","Apex Industries","#N/A","Real Estate","#N/A"
"RDSJ8ADY8629VZXHLA","Apex Innovations","#N/A","Media","#N/A"
"NRJXZ9TDA1YCW6TGGI","Apex Labs","#N/A","Media","#N/A"
"H9B0VHLHGWUGV4BKCF","Apex Logic","#N/A","Retail","#N/A"
"WKB1HQMMM4MWL56TRQ","Apex Networks","#N/A","Technology","#N/A"
"1E0ZXS1K3NJLTQ4BFL","Apex Partners","#N/A","Energy","#N/A"
"5BOMBWZ96AT2KNNJHW","Apex Services","#N/A","Manufacturing","#N/A"
"8SELIXVROIJK6IY6DO","Apex Solutions","#N/A","Manufacturing","#N/A"
"DOE4QBAI7OVMKUGSP9","Apex Systems","#N/A","Education","#N/A"
"IH96SQV5MJZU41FQ08","Apex Technologies","#N/A","Energy","#N/A"
"NEXZHVLM0LDJQHNVXT","Apex Ventures","#N/A","Real Estate","#N/A"
"L1LRWYYTCVJIAYRLOE","Apex Works","#N/A","Manufacturing","#N/A"
"3U02RCOFE1ERB4FESL","Atlas Analytics","#N/A","Real Estate","#N/A"
"VYGX4GZMHLHNRAEG5I","Atlas Capital","#N/A","Financial Services","#N/A"
"P34JR2BZJWHBBOCZUO","Atlas Corp","#N/A","Real Estate","#N/A"
"FYSF63AOAWSIMYV9OS","Atlas Digital","#N/A","Technology","#N/A"
"SETP7KUESLHEGELHPD","Atlas Dynamics","#N/A","Energy","#N/A"
"7HUATDXM583HV9NQQX","Atlas Enterprises","#N/A","Technology","#N/A"
"JP9VVX0FPLQRBPUQ31","Atlas Global","#N/A","Technology","#N/A"
"DN8Q3JK4NB8GYWXV3G","Atlas Group","#N/A","Media","#N/A"
"DKIKXC7J0PSDDRMX5B","Atlas Industries","#N/A","Consulting","#N/A"
"BOMDDVJ01WZUJ0XAFG","Atlas Innovations","#N/A","Technology","#N/A"
"2XFHFE6VLL8XUO4QWH","Atlas Labs","#N/A","Energy","#N/A"
"BPCAAM1O1R0LKA87JB","Atlas Logic","#N/A","Consulting","#N/A"
"PHZK9FLQFUUGMVWKCB","Atlas Networks","#N/A","Energy","#N/A"
"YO0XGD4XYTO2S51ZR4","Atlas Partners","#N/A","Media","#N/A"
"9RIWFW6QZ809UKK01A","Atlas Services","#N/A","Healthcare","#N/A"
"G7MYOIW1ZZVIJ3856H","Atlas Solutions","#N/A","Media","#N/A"
"BECLGRT1OQMZLQ9QRS","Atlas Systems","#N/A","Media","#N/A"
"JFRYWVX0HK6LYVQY30","Atlas Technologies","#N/A","Manufacturing","#N/A"
"DUNLX76FXSJYFVDVNZ","Atlas Ventures","#N/A","Healthcare","#N/A"
"GKYHSLRBBOJKDQKBYP","Atlas Works","#N/A","Consulting","#N/A"
"A0V0KAVJCRU3DUV9CE","Cascade Analytics","#N/A","Technology","#N/A"
"RIARYQ9FCXJDQOI5RN","Cascade Capital","#N/A","Energy","#N/A"
"UAJ0JJBPTZPEYYGQMJ","Cascade Corp","#N/A","Manufacturing","#N/A"
"F9ANFQQ6IR15ASYUFM","Cascade Digital","#N/A","Financial Services","#N/A"
"J55NWPHDPSUII56DZT","Cascade Dynamics","#N/A","Education","#N/A"
"ZAJ92Z8GNRGWF4KBBS","Cascade Enterprises","#N/A","Retail","#N/A"
"5P1AYMRO17RMNAEHDL","Cascade Global","#N/A","Manufacturing","#N/A"
"TQ6M9UPMOOE5A4NVNF","Cascade Group","#N/A","Healthcare","#N/A"
"JQ2QJLRNPLYCMZTPTT","Cascade Industries","#N/A","Technology","#N/A"
"TNCVKCDBHPYVZLNZMC","Cascade Innovations","#N/A","Media","#N/A"
"XGCOF6GVSVLEMRS8FB","Cascade Labs","#N/A","Retail","#N/A"
