"Id","Name","StageName","Type","Amount","Probability","CloseDate","LeadSource","IsClosed","IsWon","AccountId","Account.Name"
"71IQ2F8L8CELE0PFY3","Vertex Digital - Existing Customer - Downgrade - 00001","Perception Analysis","Existing Customer - Downgrade","68465.2","54","2025-12-16","Employee Referral","false","false","Vertex Digital","#N/A"
"XGRX71ZF2MPKZFSNK4","Pinnacle Networks - Existing Customer - Downgrade - 00002","Closed Won","Existing Customer - Downgrade","28977.85","100","2026-04-27","Web","true","true","Pinnacle Networks","#N/A"
"3PUNWDX5EVVZ5EIPNT","Meridian Technologies - Existing Customer - Downgrade - 00003","Closed Lost","Existing Customer - Downgrade","14092.88","0","2026-08-26","Partner Referral","true","false","Meridian Technologies","#N/A"
"HTFUNIXCPYVGYZENK4","Meridian Capital - New Customer - 00004","Qualification","New Customer","21472.64","29","2026-04-10","Trade Show","false","false","Meridian Capital","#N/A"
"SEP8QJB9IWHSS1BUOD","Nexus Analytics - New Customer - 00005","Needs Analysis","New Customer","22219.37","37","2026-04-29","Partner Referral","false","false","Nexus Analytics","#N/A"
"LMMXSFPLPM91MAAJQT","Nova Dynamics - Existing Customer - Replacement - 00006","Prospecting","Existing Customer - Replacement","25961.79","18","2025-11-14","Phone Inquiry","false","false","Nova Dynamics","#N/A"
"TLAXU0HHWTBCTICMWW","Atlas Solutions - Existing Customer - Replacement - 00007","Closed Lost","Existing Customer - Replacement","600460.99","7","2025-03-28","External Referral","true","false","Atlas Solutions","#N/A"
"UPZOEOYLCMZNDL7YIZ","Ember Dynamics - New Customer - 00008","Negotiation/Review","New Customer","21885.03","81","2026-03-13","Purchased List","false","false","Ember Dynamics","#N/A"
"C0DMFAB5IFDOCBPJWV","Stellar Innovations - Existing Customer - Downgrade - 00009","Needs Analysis","Existing Customer - Downgrade","106092.55","33","2025-08-18","Employee Referral","false","false","Stellar Innovations","#N/A"
"RKS56QBKCITJQEHP4E","Summit Corp - Existing Customer - Downgrade - 00010","Closed Won","Existing Customer - Downgrade","30161.51","100","2026-07-23","Web","true","true","Summit Corp","#N/A"
"OPUUROZYXB5CNDDK8H","Catalyst Group - Existing Customer - Replacement - 00011","Closed Lost","Existing Customer - Replacement","458111.98","0","2026-08-07","Employee Referral","true","false","Catalyst Group","#N/A"
"F7MTIK9MH3Y49BR6IY","Stellar Services - Existing Customer - Replacement - 00012","Proposal/Price Quote","Existing Customer - Replacement","270584.17","76","2025-09-11","External Referral","false","false","Stellar Services","#N/A"
"QNW0WZGOOEQ8GKEAPI","Cobalt Partners - Existing Customer - Downgrade - 00013","Qualification","Existing Customer - Downgrade","73486.07","13","2025-05-30","Purchased List","false","false","Cobalt Partners","#N/A"
"BKF4WBAW3XSJHO9AM4","Ember Systems - Existing Customer - Upgrade - 00014","Perception Analysis","Existing Customer - Upgrade","121195.92","55","2026-07-09","Employee Referral","false","false","Ember Systems","#N/A"
"KKK5TPSAFKDV7O6OEO","Pulse Corp - Existing Customer - Replacement - 00015","Negotiation/Review","Existing Customer - Replacement","17335.3","88","2025-09-09","Other","false","false","Pulse Corp","#N/A"
"9DM7FGCOFPHTKHY3LV","Stratos Partners - Existing Customer - Upgrade - 00016","Closed Lost","Existing Customer - Upgrade","112542.9","0","2025-06-06","Web","true","false","Stratos Partners","#N/A"
"2HQIQELTDTJIK4MLGH","Flux Networks - Existing Customer - Upgrade - 00017","Closed Won","Existing Customer - Upgrade","35005.49","92","2025-11-28","Web","true","true","Flux Networks","#N/A"
