"Id","Name","Industry","Errors"
"001Ka00004bYVDNIA4","Apex Analytics","Real Estate","#N/A"
"001Ka00004bYVDOIA4","Apex Capital","Consulting","#N/A"
"001Ka00004bYVDPIA4","Apex Corp","Manufacturing","#N/A"
"001Ka00004bYVDQIA4","Apex Digital","Healthcare","#N/A"
"001Ka00004bYVDRIA4","Apex Dynamics","Energy","#N/A"
"001Ka00004bYVDSIA4","Apex Enterprises","Consulting","#N/A"
"001Ka00004bYVDTIA4","Apex Global","Media","#N/A"
"001Ka00004bYVDUIA4","Apex Group","Manufacturing","#N/A"
"001Ka00004bYVDVIA4","Apex Industries","Real Estate","#N/A"
"001Ka00004bYVDWIA4","Apex Innovations","Media","#N/A"
"001Ka00004bYVDXIA4","Apex Labs","Media","#N/A"
"001Ka00004bYVDYIA4","Apex Logic","Retail","#N/A"
"001Ka00004bYVDZIA4","Apex Networks","Technology","#N/A"
"001Ka00004bYVDaIAO","Apex Partners","Energy","#N/A"
"001Ka00004bYVDbIAO","Apex Services","Manufacturing","#N/A"
"001Ka00004bYVDcIAO","Apex Solutions","Manufacturing","#N/A"
"001Ka00004bYVDdIAO","Apex Systems","Education","#N/A"
"001Ka00004bYVDeIAO","Apex Technologies","Energy","#N/A"
"001Ka00004bYVDfIAO","Apex Ventures","Real Estate","#N/A"
"001Ka00004bYVDgIAO","Apex Works","Manufacturing","#N/A"
"001Ka00004bYVDhIAO","Atlas Analytics","Real Estate","#N/A"
"001Ka00004bYVDiIAO","Atlas Capital","Financial Services","#N/A"
"001Ka00004bYVDjIAO","Atlas Corp","Real Estate","#N/A"
"001Ka00004bYVDkIAO","Atlas Digital","Technology","#N/A"
"001Ka00004bYVDlIAO","Atlas Dynamics","Energy","#N/A"
"001Ka00004bYVDmIAO","Atlas Enterprises","Technology","#N/A"
"001Ka00004bYVDnIAO","Atlas Global","Technology","#N/A"
"001Ka00004bYVDoIAO","Atlas Group","Media","#N/A"
"001Ka00004bYVDpIAO","Atlas Industries","Consulting","#N/A"
"001Ka00004bYVDqIAO","Atlas Innovations","Technology","#N/A"
"001Ka00004bYVDrIAO","Atlas Labs","Energy","#N/A"
"001Ka00004bYVDsIAO","Atlas Logic","Consulting","#N/A"
