"Id","Name","StageName","Type","Amount","Probability","CloseDate","LeadSource","AccountId","Errors"
"006Ka00000Yv5AaIAJ","Vertex Digital - Existing Customer - Downgrade - 00001","Perception Analysis","Existing Customer - Downgrade","68465.2","54","2025-12-16","Employee Referral","#N/A","#N/A"
"006Ka00000Yv5AbIAJ","Pinnacle Networks - Existing Customer - Downgrade - 00002","Closed Won","Existing Customer - Downgrade","28977.85","100","2026-04-27","Web","#N/A","#N/A"
"006Ka00000Yv5AcIAJ","Meridian Technologies - Existing Customer - Downgrade - 00003","Closed Lost","Existing Customer - Downgrade","14092.88","0","2026-08-26","Partner Referral","#N/A","#N/A"
"006Ka00000Yv5AdIAJ","Meridian Capital - New Customer - 00004","Qualification","New Customer","21472.64","29","2026-04-10","Trade Show","#N/A","#N/A"
"006Ka00000Yv5AeIAJ","Nexus Analytics - New Customer - 00005","Needs Analysis","New Customer","22219.37","37","2026-04-29","Partner Referral","#N/A","#N/A"
"006Ka00000Yv5AfIAJ","Nova Dynamics - Existing Customer - Replacement - 00006","Prospecting","Existing Customer - Replacement","25961.79","18","2025-11-14","Phone Inquiry","#N/A","#N/A"
"006Ka00000Yv5AgIAJ","Atlas Solutions - Existing Customer - Replacement - 00007","Closed Lost","Existing Customer - Replacement","600460.99","7","2025-03-28","External Referral","#N/A","#N/A"
"006Ka00000Yv5AhIAJ","Ember Dynamics - New Customer - 00008","Negotiation/Review","New Customer","21885.03","81","2026-03-13","Purchased List","#N/A","#N/A"
"006Ka00000Yv5AiIAJ","Stellar Innovations - Existing Customer - Downgrade - 00009","Needs Analysis","Existing Customer - Downgrade","106092.55","33","2025-08-18","Employee Referral","#N/A","#N/A"
"006Ka00000Yv5AjIAJ","Summit Corp - Existing Customer - Downgrade - 00010","Closed Won","Existing Customer - Downgrade","30161.51","100","2026-07-23","Web","#N/A","#N/A"
